Pathways	Reaction-List	Common-Name	Names	Regulated-By	Primary-Products	Primary-Reactants	Object ID	Super-Pathways	Ontology -  all instances of class	Ontology - all subclasses of class	Ontology - direct instances of class	Ontology - direct parents of entity	Ontology - direct subclasses of class	Ontology - pathway type	Final_pathway	Compounds of pathway	Reactants of pathway	Reactions of pathway
PWY0-1299	ARGDECARBOX-RXN	arginine dependent acid resistance	arginine dependent acid resistance				PWY0-1299					Acid-Resistance		Acid-Resistance	Acid-Resistance	CARBON-DIOXIDE // AGMATHINE // ARG // PROTON	ARG // PROTON	ARGDECARBOX-RXN
PWY0-1305	GLUTDECARBOX-RXN	L-glutamate degradation IX (via 4-aminobutanoate)	L-glutamate degradation IX (via 4-aminobutanoate) // glutamate dependent acid resistance // L-glutamate degradation IX (via 4-aminobutyrate)		4-AMINO-BUTYRATE	GLT	PWY0-1305					Acid-Resistance // GLUTAMATE-DEG		Acid-Resistance // Amino-Acid-Degradation	Amino-Acid-Degradation	CARBON-DIOXIDE // 4-AMINO-BUTYRATE // GLT // PROTON	GLT // PROTON	GLUTDECARBOX-RXN
PWY-7685	RXN-16819	L-malate degradation I	L-malate degradation I // malolactic fermentation (misleading) // (<i>S</i>)--malate degradation I		L-LACTATE	MAL	PWY-7685					Acid-Resistance // L-Malate-Degradation		Acid-Resistance // CARBOXYLATES-DEG	CARBOXYLATES-DEG	CARBON-DIOXIDE // L-LACTATE // MAL // PROTON	MAL // PROTON	RXN-16819
PWY0-1601	LYSDECARBOX-RXN	cadaverine biosynthesis	cadaverine biosynthesis // acid resistance system 4 // L-lysine-dependent acid resistance		CADAVERINE		PWY0-1601	POLYAMSYN-PWY				Acid-Resistance // Polyamine-Biosynthesis		Acid-Resistance // Polyamine-Biosynthesis	Polyamine-Biosynthesis	CARBON-DIOXIDE // CADAVERINE // LYS // PROTON	LYS // PROTON	LYSDECARBOX-RXN
PWY-7895	RXN-18715 // RXN-18714 // RXN-18713 // RXN-18712 // RXN-18711	ethionamide activation	ethionamide activation				PWY-7895					Activation		Activation	Activation	CPD-19988 // CPD-19989 // NADP // SULFUR-DIOXIDE // CPD-19990 // NADPH // OXYGEN-MOLECULE // CPD-19991 // NAD // AMMONIUM // CPD-19993 // CPD-19992 // WATER // PROTON	PROTON // NAD // NADPH // OXYGEN-MOLECULE // CPD-19988	RXN-18715 // RXN-18714 // RXN-18713 // RXN-18712 // RXN-18711
PWY-1822	RXN-2982 // RXN-2981	indole-3-acetate activation I	indole-3-acetate activation I // IAA biosynthesis from amide-conjugates // IAA deconjugation // indole-3-acetic acid biosynthesis from amide-conjugates // IAA activation I // indole-3-acetic acid activation I				PWY-1822					Activation		Activation	Activation	L-ALPHA-ALANINE // INDOLE-3-ACETYL-ALA // LEU // INDOLE_ACETATE_AUXIN // INDOLE-3-ACETYL-LEU // WATER	INDOLE-3-ACETYL-LEU // WATER // INDOLE-3-ACETYL-ALA	RXN-2982 // RXN-2981
PWY-4441	RXN-7082	DIMBOA-glucoside activation	DIMBOA-glucoside activation				PWY-4441					Activation		Activation	Activation	PROTON // Glucopyranose // CPD-6366 // CPD-6562 // WATER	CPD-6562 // WATER	RXN-7082
PWY-7896	RXN-18722 // RXN-18721	isoniazid activation	isoniazid activation				PWY-7896					Activation		Activation	Activation	CPD-20009 // WATER // ISONIAZIDE // HYDROGEN-PEROXIDE // PROTON // CPD-20008 // CPD-20007 // NADH // NAD	NADH // NAD // ISONIAZIDE // HYDROGEN-PEROXIDE	RXN-18722 // RXN-18721
PWY-1921	RXN-3167 // RXN-3166 // RXN-3165 // RXN-3164 // RXN-3163	indole-3-acetate activation II	indole-3-acetate activation II // IAA biosynthesis from glucosylated derivatives // IAA activation II // indole-3-acetic acid activation II				PWY-1921					Activation		Activation	Activation	INDOLE-3-ACETYL-BETA-6-D-GLUCOSE // INDOLE-3-ACETYL-BETA-4-D-GLUCOSE // Glucopyranose // CPD-1102 // PROTON // MYO-INOSITOL // INDOLE_ACETATE_AUXIN // D-galactopyranose // CPD-165 // 5-O-INDOL-3-YLACETYL-MYO-ETCETERA // WATER	5-O-INDOL-3-YLACETYL-MYO-ETCETERA // WATER // CPD-1102 // INDOLE-3-ACETYL-BETA-4-D-GLUCOSE // INDOLE-3-ACETYL-BETA-6-D-GLUCOSE	RXN-3167 // RXN-3166 // RXN-3165 // RXN-3164 // RXN-3163
PWY-5143	RXN-7904	long-chain fatty acid activation	long-chain fatty acid activation // long-chain acyl-CoA synthetase pathway				PWY-5143					Activation // Lipid-Biosynthesis		Activation // Lipid-Biosynthesis	Lipid-Biosynthesis	AMP // PPI // Long-Chain-Acyl-CoAs // Long-Chain-Fatty-Acids // CO-A // ATP	Long-Chain-Fatty-Acids // CO-A // ATP	RXN-7904
