Study_ID	Site	Site_code	Sample_Type	Family	Order	Stage	Exposure	Stream_Type	Month
KK1809	Cochrane	COCH	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	Bow River	July
KK1810	Cochrane	COCH	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	Bow River	July
KK1811	Cochrane	COCH	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	Bow River	July
KK1812	Cochrane	COCH	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	Bow River	July
KK1813	Cochrane	COCH	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	Bow River	July
KK1814	Cochrane	COCH	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	Bow River	July
KK1815	Cochrane	COCH	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	Bow River	July
KK1816	Cochrane	COCH	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	Bow River	July
KK1817	Cushing Bridge	CUSHBR	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	Bow River	July
KK1818	Cushing Bridge	CUSHBR	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	Bow River	July
KK1819	Cushing Bridge	CUSHBR	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	Bow River	July
KK1820	Cushing Bridge	CUSHBR	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	Bow River	July
KK1821	Cushing Bridge	CUSHBR	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	Bow River	July
KK1822	Sunalta	SUN	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	Bow River	July
KK1823	Sunalta	SUN	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	Bow River	July
KK1824	Sunalta	SUN	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	Bow River	July
KK1825	Sunalta	SUN	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	Bow River	July
KK1826	Sunalta	SUN	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	Bow River	July
KK1827	Sunalta	SUN	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	Bow River	July
KK1828	Sunalta	SUN	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	Bow River	July
KK1829	Graves Bridge	GRVBR	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	Bow River	July
KK1830	Graves Bridge	GRVBR	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	Bow River	July
KK1831	Graves Bridge	GRVBR	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	Bow River	July
KK1832	Graves Bridge	GRVBR	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	Bow River	July
KK1833	Graves Bridge	GRVBR	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	Bow River	July
KK1834	Graves Bridge	GRVBR	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	Bow River	July
KK1835	Graves Bridge	GRVBR	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	Bow River	July
KK1836	Graves Bridge	GRVBR	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	Bow River	July
KK1837	Policeman Flats	PMF	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	Bow River	July
KK1838	Policeman Flats	PMF	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	Bow River	July
KK1839	Policeman Flats	PMF	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	Bow River	July
KK1840	Policeman Flats	PMF	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	Bow River	July
KK1841	Policeman Flats	PMF	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	Bow River	July
KK1842	Policeman Flats	PMF	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	Bow River	July
KK1843	Policeman Flats	PMF	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	Bow River	July
KK1844	Policeman Flats	PMF	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	Bow River	July
KK1845	BRR2	BRR2	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	ACWA Streams	September
KK1846	BRR2	BRR2	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	ACWA Streams	September
KK1847	BRR2	BRR2	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	ACWA Streams	September
KK1848	BRR2	BRR2	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	ACWA Streams	September
KK1849	BRR2	BRR2	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	ACWA Streams	September
KK1850	BRR2	BRR2	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	ACWA Streams	September
KK1851	BRR2	BRR2	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	ACWA Streams	September
KK1852	BRR2	BRR2	Sample	Hydropsychidae	Trichoptera	Larvae	Unexposed	ACWA Streams	September
KK1853	PCR1	PCR1	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	ACWA Streams	September
KK1854	PCR1	PCR1	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	ACWA Streams	September
KK1855	PCR1	PCR1	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	ACWA Streams	September
KK1856	PCR1	PCR1	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	ACWA Streams	September
KK1857	PCR1	PCR1	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	ACWA Streams	September
KK1858	PCR1	PCR1	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	ACWA Streams	September
