ASV	KK1809	KK1810	KK1811	KK1812	KK1813	KK1814	KK1815	KK1816	KK1817	KK1818	KK1819	KK1820	KK1821	KK1822	KK1823	KK1824	KK1825	KK1826	KK1827	KK1828	KK1829	KK1830	KK1831	KK1832	KK1833	KK1834	KK1835	KK1836	KK1837	KK1838	KK1839	KK1840	KK1841	KK1842	KK1843	KK1844	KK1845	KK1846	KK1847	KK1848	KK1849	KK1850	KK1851	KK1852	KK1853	KK1854	KK1855	KK1856	KK1857	KK1858	KK1859	KK1860	KK1861	KK1862	KK1863	KK1864	KK1865	KK1866	KK1867	KK1868	KK1869	KK1870	KK1871	KK1872	KK1873	KK1874	KK1875	KK1876	KK1877	KK1878	KK1879	KK1880	KK1881	KK1882	KK1883	KK1884	KK1885	KK1886	KK1887	KK1888	KK1889	KK1890	KK1891	KK1892	KK1893	KK1894	KK1895	KK1896	KK1897	KK1898	KK1899	KK1900	KK1901	KK1902	KK1903	KK1904	KK1905	KK1906	KK1907	KK1908	KK1909	KK1912	KK1913	KK1914	KK1915	KK1916	KK1917	KK1919	KK1920	KK1921	KK1923	KK1927	KK1928	KK1930	KK1931	KK1932	KK1933	KK1934	KK1935	KK1936	KK1937	KK1938	KK1939	KK1940	KK1941	KK1942	KK1943	KK1944	KK1945	KK1946	KK1947	KK1948	KK1949	KK1950	KK1951	KK1961	KK1962	KK1963	KK1964	KK1965	KK1966	KK1967	KK1968	KK1969	KK1970	KK1971	KK1972	KK1973	KK1974	KK1975	KK1976	KK1977	KK1978	KK1979	KK1980	KK1981	KK1982	KK1983	KK1984	KK1985	KK1986	KK1987	KK1988	KK1989	KK1990	KK1991	KK1992	KK1993	KK1994	KK1995	KK1996	KK1997	KK1998	KK1999	KK2000	KK2001	KK2002	KK2003	KK2004	KK2005	KK2006	KK2007	KK2008	KK2009	KK2010	KK2011	KK2013	KK2014	KK2015	KK2016	KK2017	KK2018	KK2019	KK2020	KK2021	KK2022	KK2023	KK2024	KK2025	KK2028	KK2029	KK2030	KK2031	KK2032	KK2033	KK2034	KK2035	KK2036	KK2037	KK2038	KK2039	KK2040	KK2041	KK2042	KK2043	KK2044	KK2045	KK2046	KK2047	KK2048	KK2049	KK2050	KK2051	KK2052	KK2053	KK2054	KK2055	KK2056	KK2057	KK2058	KK2059	KK2060	KK2061	KK2062	KK2063	KK2064	KK2065	KK2066	KK2067	KK2068	KK2069	KK2070	KK2071	KK2077	KK2079	KK2080	KK2082	KK2083	KK2084	KK2085	KK2086	KK2087	KK2088	KK2089	KK2090	KK2091	KK2092	KK2093	KK2094	KK2095	KK2096	KK2097	KK2098	KK2099	KK2100	KK2101	KK2102	KK2103	KK2104	KK2105	KK2106	KK2107	KK2108	KK2109	KK2110	KK2111	KK2112	KK2113	KK2114	KK2116	KK2117	KK2118	KK2119	KK2120	KK2121	KK2122	KK2123	KK2124	KK2125	KK2126	KK2127	KK2128	KK2129	KK2130	KK2131	KK2132	KK2133	KK2134	KK2135	KK2136	KK2137	KK2138	KK2139	KK2140	KK2141	KK2142	KK2143	KK2144	KK2145	KK2146	KK2147	KK2148	KK2149	KK2150	KK2151	KK2152	KK2153	KK2154	KK2155	KK2156	KK2157	KK2158	KK2159	KK2160	KK2161	KK2162	KK2163	KK2164	KK2165	KK2166	KK2167	KK2168	KK2169	KK2170	KK2171
ASV1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	11	10	0	0	0	22	10	22	20	15	0	11	14	7	0	0	0	0	11	0	0	0	4	0	8	0	9	0	14	30	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	75	3	8	25	212	108	7	11	31	51	105	179	0	8	12	0	43	35	6	29	0	6	136	18	43	58	83	52	26	9	21	15	0	46	8	30	62	10	36113	9102	17	41179	147906	113242	80505	31	24	16	99334	87457	175485	106891	58312	12	88235	64745	29483	11	28	24	15	61049	26	14	18	45487	47	60603	13158	47371	67	88626	190855	87198	33702	52	113	185	1721	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	34	0	0	0	0	0	0	0	0	0	0	0	0
ASV2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	31	0	24	125	23	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	18	0	0	0	0	8	0	0	0	0	4	0	0	0	4	4	0	0	0	5	0	4	7	7	0	12	13	11	12	20	16	1104	464	606	1483	0	11	7	0	9	9	5	0	705	377	217	253	1185	666	770	1243	628	1460	762	950	165	304	1280	42309	2133	6266	6726	9384	27154	7731	3617	37411	19520	16302	12374	10907	20871	17513	15334	21668	15634	30228	9131	28823	17687	16633	2244	22796	9335	15060	16129	20598	19686	6782	3398	11635	15482	4941	15373	28349	8598	37744	2477	1261	1331	6350	2517	3547	0	5186	671	1217	1210	1053	685	2408	6335	0	9	4	2	4	461	44	53	31	23255	132	84	78	83	42	4978	266	168	448	3490	2	5	106	6	0	42	14	30	296	14	100	6	3687	56	35	74	74	24295	4407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV3	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	0	0	0	0	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	6	0	167	24	0	0	0	0	0	0	0	0	0	0	405	0	0	0	0	0	0	0	0	0	0	0	0	0	34	10	81	5	0	0	46	0	0	0	0	0	0	0	0	0	0	33	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	118	0	0	0	0	11876	21172	0	0	3182	8946	96	0	9274	0	13102	0	0	4180	9	0	15206	0	12155	5983	0	7873	32048	37622	127	21568	17219	4918	10501	23926	31161	3850	244	0	0	0	0	213	13	860	102	568	83	69	261	429	816	99	17	0	3	698	19188	7	0	0	247	0	655	133	145	48	116	0	118	34444	83	179	1480	1668	4479	10335	51	0	3	0	0	0	56	0	34	418	173	5505	376	165	3238	9300	142	0	0	161	0	0	0	0	0	0	0	462	0	924	0	101	264	0	356	92	0	0	0	74938	0	0	0	0	797	0	109	23893	0	24	0	36	0	0	0	0	0	0	12845	0	41	0	0	0	0	712	0	55	0	0	0	5196	0	0	0	0	0	0	0	0	22773	26033	2818	0	0	0	0	7590	8736	2588	0	0
ASV4	3237	2636	1618	260	8311	2108	1889	1116	1079	2200	808	0	0	2646	100	2049	1204	1557	683	0	0	0	0	1028	0	632	0	458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	11992	33139	0	11708	0	0	0	0	20903	0	0	0	8416	0	0	0	0	6644	127	0	0	0	0	0	0	0	0	0	0	4078	0	0	0	0	0	0	0	0	754	0	0	47619	395	0	0	0	2283	0	261	46342	209	0	3	0	0	0	76922	40552	1770	601	0	0	9	0	18	5	4	0	0	0	53	0	0	0	13	15	0	26446	6	0	8	17	0	81054	69632	31	0	0	0	0	65731	5	0	161	0	0	0	0	0	0	0	0	8	4	0	0	5	0	0	111	0	0	0	0	0	336	0	3	0	0	0	5	0	9	0	0	0	0	0	0	0
ASV5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	46	0	0	0	0	103	6	0	0	0	5	0	0	7	6	0	0	0	4	0	2	0	0	4	0	0	0	0	0	2	0	5	4	5	0	12	45936	3	2	7	5	8	6	7	0	0	0	5	0	1137	51809	6	0	0	0	4	78225	60569	70878	79103	59300	5	5	59671	11	0	105	0	0	0	2	0	479	0	0	0	0	0	0	5	55676	0	39	32	0	0	0	0
ASV6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	80	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	32	7	12	0	0	0	8	0	8	0	0	0	5	7	5	0	46	0	14	8	48109	3	11	20	0	64780	0	0	0	0	15	0	0	25722	15	6	0	0	0	0	83682	8	92318	0	0	0	121387	0	0	0	6	9	36	0	0	5	0	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	3	0	0	4	0	0	0	2	2	0	0	20612	10608	10814	9481	15173	9299	13813	3183	1310	4622	1224	610	0	8444	2225	9856	1721	34	3377	6526	3253	5421	5611	321	17050	22558	8060	9994	633	36	413	1964	4413	2880	4730	30861	7084	3480	4536	2891	2	6	0	4	0	0	0	0	0	0	0	0	0	0	10	3	0	0	0	0	0	0	0	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	1562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78
ASV9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	1370	1688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	2516	4498	0	137	8639	5109	1947	4586	0	1061	5659	0	0	0	0	3906	1682	6319	0	2139	7847	1648	6437	17121	6174	4506	997	1748	942	5582	2704	5008	0	163	171	87	0	552	0	102	46	98	105	55	179	178	425	77	0	129	0	0	2653	0	0	39	0	24	181	0	125	0	0	0	35	561	0	0	278	168	101	4391	0	0	0	98	0	0	0	0	0	0	42	1975	0	0	319	1645	0	42	0	0	0	0	3101	14606	0	0	0	0	0	4214	2835	0	0	0	257	0	0	0	9677	0	14000	0	0	0	0	0	0	0	0	0	5041	0	0	0	0	0	0	0	2123	0	0	0	0	10	0	0	0	0	0	0	0	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4358	0	0	0	0	0
ASV10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	4	0	5	0	0	0	3	0	0	66351	50636	0	0	0	0	0	0	0	4	0	0	0	0	45613	0	0	0	0	8871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
