Study_ID,Sample_ID,Blank_collection_method,Blank_Type,Sample_Type,Taxa,Family,Order,Stage,Metamorphosis,Site,Exposure,Stream_Type,Month,Water_Temp,Dissolved_oxygen,Total_Phosphorus,Total_Dissolved_Solids,Total_Suspended_Solids,Ammonia,Total_Organic_Carbon,pH
KK1809,COCH_1_Lar_Caddis_MB_1,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1810,COCH_1_Lar_Caddis_MB_2,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1811,COCH_1_Lar_Caddis_MB_3,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1812,COCH_1_Lar_Caddis_MB_4,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1813,COCH_1_Lar_Caddis_MB_5,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1814,COCH_1_Lar_Caddis_MB_6,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1815,COCH_1_Lar_Caddis_MB_7,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1816,COCH_1_Lar_Caddis_MB_8,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1817,CUSHBR_1_Lar_Caddis_MB_1,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1818,CUSHBR_1_Lar_Caddis_MB_2,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1819,CUSHBR_1_Lar_Caddis_MB_3,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1820,CUSHBR_1_Lar_Caddis_MB_4,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1821,CUSHBR_1_Lar_Caddis_MB_5,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1822,SUNAL_1_Lar_Caddis_MB_1,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Sunalta,Unexposed,Bow River,July,14.7,9.76,0.008,145,5.1,0.025,1,8.4
KK1823,SUNAL_1_Lar_Caddis_MB_2,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Sunalta,Unexposed,Bow River,July,14.7,9.76,0.008,145,5.1,0.025,1,8.4
KK1824,SUNAL_1_Lar_Caddis_MB_3,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Sunalta,Unexposed,Bow River,July,14.7,9.76,0.008,145,5.1,0.025,1,8.4
KK1825,SUNAL_1_Lar_Caddis_MB_5,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Sunalta,Unexposed,Bow River,July,14.7,9.76,0.008,145,5.1,0.025,1,8.4
KK1826,SUNAL_1_Lar_Caddis_MB_6,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Sunalta,Unexposed,Bow River,July,14.7,9.76,0.008,145,5.1,0.025,1,8.4
KK1827,SUNAL_1_Lar_Caddis_MB_7,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Sunalta,Unexposed,Bow River,July,14.7,9.76,0.008,145,5.1,0.025,1,8.4
KK1828,SUNAL_1_Lar_Caddis_MB_8,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Sunalta,Unexposed,Bow River,July,14.7,9.76,0.008,145,5.1,0.025,1,8.4
KK1829,GRVBR_1_Lar_Caddis_MB_1,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK1830,GRVBR_1_Lar_Caddis_MB_2,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK1831,GRVBR_1_Lar_Caddis_MB_3,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK1832,GRVBR_1_Lar_Caddis_MB_4,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK1833,GRVBR_1_Lar_Caddis_MB_5,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK1834,GRVBR_1_Lar_Caddis_MB_6,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK1835,GRVBR_1_Lar_Caddis_MB_7,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK1836,GRVBR_1_Lar_Caddis_MB_8,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK1837,POLFLT_1_Lar_Caddis_MB_1,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1838,POLFLT_1_Lar_Caddis_MB_2,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1839,POLFLT_1_Lar_Caddis_MB_3,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1840,POLFLT_1_Lar_Caddis_MB_4,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1841,POLFLT_1_Lar_Caddis_MB_5,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1842,POLFLT_1_Lar_Caddis_MB_6,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1843,POLFLT_1_Lar_Caddis_MB_7,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1844,POLFLT_1_Lar_Caddis_MB_8,Water July,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1845,ACWA_Cont_Lar_MB_1,Water September,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,BRR2,,ACWA Streams,September,11,,,,,,,
KK1846,ACWA_Cont_Lar_MB_2,Water September,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,BRR2,,ACWA Streams,September,11,,,,,,,
KK1847,ACWA_Cont_Lar_MB_3,Water September,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,BRR2,,ACWA Streams,September,11,,,,,,,
