Study_ID,Sample_ID,Site,Site_code,Long,Lat,Blank_collection_method,Blank_Type,Sample_Type,Family,Order,Stage,Metamorphosis,Exposure,Stream_Type,Month,Water_Temp,Dissolved_oxygen,Conductivity,Total_Phosphorus,Total_Dissolved_Solids,Total_Suspended_Solids,Ammonia,Total_Organic_Carbon,pH,Dissolved_Nitrogen,Nitrate,Nitrite,Dissolved_Organic_Carbon,Orthophosphate
KK1809,COCH_1_Lar_Caddis_MB_1,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1810,COCH_1_Lar_Caddis_MB_2,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1811,COCH_1_Lar_Caddis_MB_3,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1812,COCH_1_Lar_Caddis_MB_4,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1813,COCH_1_Lar_Caddis_MB_5,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1814,COCH_1_Lar_Caddis_MB_6,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1815,COCH_1_Lar_Caddis_MB_7,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1816,COCH_1_Lar_Caddis_MB_8,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1817,CUSHBR_1_Lar_Caddis_MB_1,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1818,CUSHBR_1_Lar_Caddis_MB_2,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
