Site,Type,Sample_ID,Month,Sample_Type,Minutes_elapsed,Length,Mass,Phosphorus,P_org,org_rate_P,P_Mass,Excr_rate_P,Ammonia,NH3_org,org_rate_NH3,NH3_Mass,Excr_rate_NH3,Water_Temp,Dissolved_oxygen,TP,TDS,TSS,Ammonia
Cochrane,Bow River,COCH_1_BLANK_EXCRETIAH2O_1,July,Blank,62,N/A,N/A,4.3,0,0,N/A,N/A,0.67,0,0,N/A,N/A,12.5,10.27,0.008,142,6.2,<DL (0.05)
Cochrane,Bow River,COCH_1_LAR_CADDIS_EXCRETIAH2O_1,July,Sample,93,3.546,10.666,34.4,30.1,0.323655914,2.822051378,0.030344638,26.8,26.13,0.280967742,2.449840615,0.026342372,12.5,10.27,0.008,142,6.2,<DL (0.05)
Cochrane,Bow River,COCH_1_LAR_CADDIS_EXCRETIAH2O_2,July,Sample,93,2.772,9.043,10.5,6.2,0.066666667,0.685613181,0.007372185,14.6,13.93,0.149784946,1.540418003,0.016563634,12.5,10.27,0.008,142,6.2,<DL (0.05)
Cochrane,Bow River,COCH_1_LAR_CADDIS_EXCRETIAH2O_3,July,Sample,93,3.004,10.646,69.4,65.1,0.7,6.11497276,0.065752395,49.05,48.38,0.520215054,4.544429833,0.048864837,12.5,10.27,0.008,142,6.2,<DL (0.05)
Cochrane,Bow River,COCH_1_LAR_CADDIS_EXCRETIAH2O_4,July,Sample,67,3.146,10.814,89.6,85.3,1.273134328,7.887923063,0.117730195,42.8,42.13,0.62880597,3.895875717,0.058147399,12.5,10.27,0.008,142,6.2,<DL (0.05)
Cochrane,Bow River,COCH_1_LAR_CADDIS_EXCRETIAH2O_5,July,Sample,69,3.042,8.548,29.9,25.6,0.371014493,2.994852597,0.043403661,6.62,5.95,0.086231884,0.696069256,0.01008796,12.5,10.27,0.008,142,6.2,<DL (0.05)
Cochrane,Bow River,COCH_1_LAR_CADDIS_EXCRETIAH2O_6,July,Sample,65,3.065,8.759,121,116.7,1.795384615,13.32343875,0.204975981,56.1,55.43,0.852769231,6.328347985,0.0973592,12.5,10.27,0.008,142,6.2,<DL (0.05)
Cochrane,Bow River,COCH_1_LAR_CADDIS_EXCRETIAH2O_7,July,Sample,72,3.726,24.099,102,97.7,1.356944444,4.054110129,0.056307085,41.9,41.23,0.572638889,1.710859372,0.023761936,12.5,10.27,0.008,142,6.2,<DL (0.05)
Cochrane,Bow River,COCH_1_LAR_CADDIS_EXCRETIAH2O_8,July,Sample,71,3.741,11.237,113,108.7,1.530985915,9.673400374,0.136245076,49.4,48.73,0.686338028,4.336566699,0.061078404,12.5,10.27,0.008,142,6.2,<DL (0.05)
Cochrane,Bow River,COCH_1_LAR_CADDIS_EXCRETIAH2O_9,July,Sample,71,3.807,10.174,48.15,43.85,0.617605634,4.310005898,0.060704308,14.75,14.08,0.198309859,1.383919796,0.019491828,12.5,10.27,0.008,142,6.2,<DL (0.05)
Cochrane,Bow River,COCH_1_LAR_CADDIS_EXCRETIAH2O_10,July,Sample,71,3.159,9.332,49.2,44.9,0.632394366,4.811401629,0.06776622,15.5,14.83,0.208873239,1.589155594,0.022382473,12.5,10.27,0.008,142,6.2,<DL (0.05)
Cochrane,Bow River,COCH_NUT_H20_BL_1,September,Blank,60,N/A,N/A,3.68,0,0,N/A,N/A,55.65,0,0,N/A,N/A,15,9.84,0.003,160,<DL (2),<DL (0.05)
Cochrane,Bow River,COCH_NUT_H20_1,September,Sample,65,3.743,16.913,292,288.32,4.435692308,17.04724177,0.262265258,277,221.35,3.405384615,13.08756578,0.201347166,15,9.84,0.003,160,<DL (2),<DL (0.05)
Cochrane,Bow River,COCH_NUT_H20_2,September,Sample,65,2.575,9.26,54.2,50.52,0.777230769,5.455723542,0.083934208,125,69.35,1.066923077,7.489200864,0.115218475,15,9.84,0.003,160,<DL (2),<DL (0.05)
Cochrane,Bow River,COCH_NUT_H20_3,September,Sample,65,2.073,3.021,12.8,9.12,0.140307692,3.018867925,0.046444122,124,68.35,1.051538462,22.62495862,0.348076286,15,9.84,0.003,160,<DL (2),<DL (0.05)
Cochrane,Bow River,COCH_NUT_H20_4,September,Sample,65,4.425,26.623,746,742.32,11.42030769,27.88265785,0.428963967,444,388.35,5.974615385,14.58701123,0.224415557,15,9.84,0.003,160,<DL (2),<DL (0.05)
Cochrane,Bow River,COCH_NUT_H20_5,September,Sample,65,2.478,3.834,31.9,28.22,0.434153846,7.360459051,0.113237832,96.1,40.45,0.622307692,10.55033907,0.162312909,15,9.84,0.003,160,<DL (2),<DL (0.05)
Cochrane,Bow River,COCH_NUT_H20_6,September,Sample,65,2,3.08,10.5,6.82,0.104923077,2.214285714,0.034065934,89.1,33.45,0.514615385,10.86038961,0.167082917,15,9.84,0.003,160,<DL (2),<DL (0.05)
Cochrane,Bow River,COCH_NUT_H20_7,September,Sample,65,2.524,3.512,22.1,18.42,0.283384615,5.244874715,0.08069038,87.7,32.05,0.493076923,9.125854214,0.140397757,15,9.84,0.003,160,<DL (2),<DL (0.05)
Cochrane,Bow River,COCH_NUT_H20_8,September,Sample,66,2.025,1.882,7.06,3.38,0.051212121,1.795961743,0.027211542,91.2,35.55,0.538636364,18.88947928,0.286204232,15,9.84,0.003,160,<DL (2),<DL (0.05)
Cochrane,Bow River,COCH_NUT_H20_9,September,Sample,65,2.608,4.86,11.35,7.67,0.118,1.578189301,0.024279835,511.5,455.85,7.013076923,93.7962963,1.443019943,15,9.84,0.003,160,<DL (2),<DL (0.05)
Cochrane,Bow River,COCH_NUT_H20_10,September,Sample,65,2.379,3.11,22.4,18.72,0.288,6.019292605,0.092604502,101,45.35,0.697692308,14.58199357,0.224338363,15,9.84,0.003,160,<DL (2),<DL (0.05)
Sunalta,Bow River,SUN_1_BLANK_EXCRETIAH20_1,July,Blank,62,N/A,N/A,2.99,0,0,N/A,N/A,1.47,0,0,N/A,N/A,14.7,9.76,0.008,145,5.1,<DL (0.05)
Sunalta,Bow River,SUN_1_LAR_CADDIS_EXCRETIAH20_1,July,Sample,57,3.848,12.428,162,159.01,2.789649123,12.7944963,0.224464847,14.4,12.93,0.226842105,1.040392662,0.018252503,14.7,9.76,0.008,145,5.1,<DL (0.05)
Sunalta,Bow River,SUN_1_LAR_CADDIS_EXCRETIAH20_2,July,Sample,57,2.931,8.862,129,126.01,2.210701754,14.21913789,0.249458559,27.4,25.93,0.454912281,2.925976078,0.051332914,14.7,9.76,0.008,145,5.1,<DL (0.05)
Sunalta,Bow River,SUN_1_LAR_CADDIS_EXCRETIAH20_3,July,Sample,86,3.207,15.789,80.65,77.66,0.903023256,4.918614225,0.057193189,0.67,-0.8,-0.009302326,-0.050668187,-0.000589165,14.7,9.76,0.008,145,5.1,<DL (0.05)
Sunalta,Bow River,SUN_1_LAR_CADDIS_EXCRETIAH20_4,July,Sample,73,2.795,10.172,130,127.01,1.739863014,12.48623673,0.171044339,24.4,22.93,0.314109589,2.254227291,0.030879826,14.7,9.76,0.008,145,5.1,<DL (0.05)
Sunalta,Bow River,SUN_NUT_H20_BL_1,September,Blank,59,N/A,N/A,0.79,0,0,N/A,N/A,23.5,0,0,N/A,N/A,13,8.42,0.004,157,<DL (2),<DL (0.05)
Sunalta,Bow River,SUN_NUT_H20_1,September,Sample,65,3.496,13.637,23.9,23.11,0.355538462,1.694654249,0.026071604,39.7,16.2,0.249230769,1.187944563,0.01827607,13,8.42,0.004,157,<DL (2),<DL (0.05)
Sunalta,Bow River,SUN_NUT_H20_2,September,Sample,65,3.658,13.571,62.9,62.11,0.955538462,4.576670842,0.070410321,0.67,-22.83,-0.351230769,-1.68226365,-0.025880979,13,8.42,0.004,157,<DL (2),<DL (0.05)
Sunalta,Bow River,SUN_NUT_H20_3,September,Sample,65,3.148,9.829,416,415.21,6.387846154,42.24336148,0.649897869,16.7,-6.8,-0.104615385,-0.691830298,-0.010643543,13,8.42,0.004,157,<DL (2),<DL (0.05)
Sunalta,Bow River,SUN_NUT_H20_4,September,Sample,66,3.713,17.054,162,161.21,2.442575758,9.452914272,0.143225974,29.2,5.7,0.086363636,0.334232438,0.005064128,13,8.42,0.004,157,<DL (2),<DL (0.05)
Sunalta,Bow River,SUN_NUT_H20_5,September,Sample,65,3.555,13.88,279,278.21,4.280153846,20.04394813,0.308368433,9.72,-13.78,-0.212,-0.992795389,-0.015273775,13,8.42,0.004,157,<DL (2),<DL (0.05)
Sunalta,Bow River,SUN_NUT_H20_6,September,Sample,65,3.729,15.164,23.3,22.51,0.346307692,1.484436824,0.02283749,1.73,-21.77,-0.334923077,-1.435637035,-0.022086724,13,8.42,0.004,157,<DL (2),<DL (0.05)
Sunalta,Bow River,SUN_NUT_H20_7,September,Sample,64,4.126,15.141,87.7,86.91,1.35796875,5.74004359,0.089688181,35.1,11.6,0.18125,0.766131695,0.011970808,13,8.42,0.004,157,<DL (2),<DL (0.05)
Sunalta,Bow River,SUN_NUT_H20_8,September,Sample,65,3.984,11.453,614,613.21,9.434,53.54143019,0.823714311,24.6,1.1,0.016923077,0.096044704,0.001477611,13,8.42,0.004,157,<DL (2),<DL (0.05)
Sunalta,Bow River,SUN_NUT_H20_9,September,Sample,65,3.26,11.102,65.7,64.91,0.998615385,5.846694289,0.089949143,7.97,-15.53,-0.238923077,-1.398847055,-0.021520724,13,8.42,0.004,157,<DL (2),<DL (0.05)
Sunalta,Bow River,SUN_NUT_H20_10,September,Sample,64,4.146,24.344,297,296.21,4.62828125,12.16767992,0.190119999,52,28.5,0.4453125,1.170719685,0.018292495,13,8.42,0.004,157,<DL (2),<DL (0.05)
Graves Bridge,Bow River,GRVBR_1_BLANK_EXCRETIAH20_1,July,Blank,59,N/A,N/A,3.38,0,0,N/A,N/A,0.67,0,0,N/A,N/A,14.45,N/A,N/A,N/A,N/A,N/A
Graves Bridge,Bow River,GRVBR_1_LAR_CADDIS_EXCRETIAH20_1,July,Sample,63,3.512,10.647,301,297.62,4.724126984,27.95341411,0.443704986,45.35,44.68,0.709206349,4.196487273,0.066610909,14.45,N/A,N/A,N/A,N/A,N/A
