d13C,d15N,Site,Taxa
-31.4,9,Cochrane,Hydropsychidae 
-30.8,10.5,Sunalta,Chironomidae
-25.3,7.4,Policeman Flats,Hydropsychidae 
-23.8,4.4,Policeman Flats,Ephemerellidae
-32.7,6.4,Cochrane,Heptageniidae
-29.2,5.5,Cochrane,Lepidoptera
-25.9,1.2,Policeman Flats,Lepidoptera
-30.8,9.4,Graves Bridge,Heptageniidae
-29.2,9.5,Graves Bridge,Ephemerellidae
-25.8,6.9,Policeman Flats,Chironomidae
-25,8,Policeman Flats,Heptageniidae
-28.4,10.3,Cochrane,Chironomidae
-24.1,5.9,Policeman Flats,Hydropsychidae 
-25.7,5.9,Cochrane,Lepidoptera
-31.5,6.5,Cushing Bridge,Heptageniidae
-27.4,10.7,Graves Bridge,Hydropsychidae 
-31.2,7.4,Cushing Bridge,Chironomidae
-26.3,8.8,Graves Bridge,Chironomidae
-30.4,7.7,Sunalta,Hydropsychidae 
-28.7,8.5,Cushing Bridge,Hydropsychidae 
-26.3,5.2,Policeman Flats,Ephemerellidae
-25.6,14.1,Graves Bridge,Hydropsychidae 
-25.1,7.8,Policeman Flats,Leptoceridae
-25,9.5,Policeman Flats,Leptoceridae
-27.5,10.1,Cushing Bridge,Hydropsychidae 
-25.7,9.05,Policeman Flats,Leptoceridae
-29,8.2,Sunalta,Chironomidae
-28.2,10.8,Sunalta,Chironomidae
-26.8,0.9,Policeman Flats,Lepidoptera
-26.8,8.3,Cochrane,Lepidoptera
-24.4,7.3,Policeman Flats,Ephemerellidae
-27.6,3.3,Policeman Flats,Lepidoptera
-27.7,6.9,Sunalta,Heptageniidae
-30.2,5.1,Sunalta,Lepidoptera
-31.7,10.8,Policeman Flats,Chironomidae
-30.2,6.9,Sunalta,Lepidoptera
-28.3,7.1,Sunalta,Lepidoptera
-27.7,6.9,Sunalta,Ephemerellidae
-27.1,6,Cochrane,Chironomidae
-29.6,9.8,Graves Bridge,Heptageniidae
-30.2,10.8,Graves Bridge,Chironomidae
-26.8,11.6,Graves Bridge,Ephemerellidae
-25.1,6.4,Policeman Flats,Hydropsychidae 
-31,10.1,Cushing Bridge,Chironomidae
-22.9,5.3,Policeman Flats,Ephemerellidae
-23.9,10.9,Policeman Flats,Chironomidae
-32.2,9.5,Cochrane,Chironomidae
-23.4,8.7,Policeman Flats,Hydropsychidae 
-25.5,7.5,Graves Bridge,Lepidoptera
-27.5,6.1,Graves Bridge,Lepidoptera
-26.9,6.6,Policeman Flats,Ephemerellidae
-30.3,8.6,Sunalta,Hydropsychidae 
-28.1,4,Graves Bridge,Lepidoptera
-29.3,11.7,Graves Bridge,Ephemerellidae
-27.3,9.6,Graves Bridge,Heptageniidae
-30.5,10.4,Graves Bridge,Chironomidae
-23.5,11.2,Graves Bridge,Ephemerellidae
-25.6,10.7,Cushing Bridge,Chironomidae
-28.1,9.2,Graves Bridge,Ephemerellidae
-29.1,8.6,Graves Bridge,Ephemerellidae
-29.6,10.5,Graves Bridge,Chironomidae
-30.1,9.4,Graves Bridge,Heptageniidae
-28.1,11.4,Graves Bridge,Hydropsychidae 
-27.1,6.9,Cushing Bridge,Ephemerellidae
-27.7,11.2,Graves Bridge,Hydropsychidae 
-27.9,7.1,Cushing Bridge,Ephemerellidae
-28.9,9.45,Cushing Bridge,Heptageniidae
-28.5,8.4,Cushing Bridge,Chironomidae
-30.2,6.5,Cushing Bridge,Heptageniidae
-30.7,6.7,Sunalta,Heptageniidae
-31.7,6,Sunalta,Heptageniidae
-31.1,5.8,Sunalta,Heptageniidae
-28.5,6.4,Sunalta,Hydropsychidae 
-26,8.3,Cushing Bridge,Leptoceridae
-30.6,6.9,Cochrane,Hydropsychidae 
-30.7,3.9,Policeman Flats,Heptageniidae
-32.3,6.3,Cochrane,Heptageniidae
-24.6,7.3,Policeman Flats,Hydropsychidae 
-29,5.2,Policeman Flats,Heptageniidae
-30.8,2.1,Policeman Flats,Heptageniidae
-25.1,6.7,Policeman Flats,Hydropsychidae 
-33.4,6,Cochrane,Heptageniidae
-31.15,7.75,Cochrane,Hydropsychidae 
-31.9,9,Cochrane,Hydropsychidae 
-28.7,5,Sunalta,Ephemerellidae
-25.9,14.5,Graves Bridge,Hydropsychidae 
-29.1,5.6,Sunalta,Ephemerellidae
-27.9,10.15,Cushing Bridge,Hydropsychidae 
-25.65,14.2,Graves Bridge,Hydropsychidae 
-30.3,8.6,Sunalta,Hydropsychidae 
-28.6,5.9,Sunalta,Ephemerellidae
-27.8,6.2,Sunalta,Hydropsychidae 
