d13C,d15N,Site,Taxa
-26.6,10,Graves Bridge,Chloroperlidae
-26.4,7.8,Cushing Bridge,Araneidae
-24.8,6.8,Graves Bridge,Coleoptera
-29,6.8,Sunalta,Chloroperlidae
-30.65,9.1,Cochrane,Rhyacophilidae
-27.2,9.2,Cushing Bridge,Tetragnathidae
-28.3,9,Sunalta,Perlidae
-26.95,8.95,Sunalta,Araneidae
-26.7,10.7,Graves Bridge,Chloroperlidae
-31.6,8.6,Sunalta,Rhyacophilidae
-24.9,8.3,Policeman Flats,Perlidae
-24.8,8.6,Policeman Flats,Tetragnathidae
-25.45,7.75,Policeman Flats,Araneidae
-24.4,12.3,Graves Bridge,Tetragnathidae
-29.3,9.5,Cochrane,Tetragnathidae
-29.2,6.6,Cushing Bridge,Chloroperlidae
-25.3,7.5,Policeman Flats,Coleoptera
-24.85,7.55,Policeman Flats,Perlidae
-26.9,10.3,Graves Bridge,Rhyacophilidae
-29.2,7.3,Cochrane,Araneidae
-26.9,10.4,Cushing Bridge,Rhyacophilidae
-27.6,2.7,Policeman Flats,Rhyacophilidae
-26.3,5.4,Graves Bridge,Coleoptera
-27,5.9,Graves Bridge,Coleoptera
-25.5,7.5,Policeman Flats,Araneidae
-28.8,9.2,Cochrane,Araneidae
-29.1,8.65,Sunalta,Perlidae
-28.4,9.15,Sunalta,Tetragnathidae
-30.1,7.7,Cochrane,Chloroperlidae
-26.3,8.4,Cushing Bridge,Tetragnathidae
-26,13.1,Graves Bridge,Araneidae
-24.4,7.8,Policeman Flats,Araneidae
-24.2,12.3,Graves Bridge,Araneidae
-28.6,7.8,Sunalta,Araneidae
-23.85,7.9,Cochrane,Rhyacophilidae
-25.5,12.4,Graves Bridge,Araneidae
-26.7,8.7,Cushing Bridge,Tetragnathidae
-26.9,7.6,Sunalta,Tetragnathidae
-23.9,13.5,Graves Bridge,Tetragnathidae
-28.2,9.4,Graves Bridge,Chloroperlidae
-25.9,8.8,Policeman Flats,Tetragnathidae
-24.3,9.1,Policeman Flats,Tetragnathidae
-29.3,5.8,Cushing Bridge,Chloroperlidae
-29.3,5.3,Cushing Bridge,Chloroperlidae
-28.2,9.9,Graves Bridge,Chloroperlidae
-29.25,8.35,Sunalta,Perlidae
-29,8.8,Cochrane,Tetragnathidae
-30.1,8.5,Cochrane,Tetragnathidae
-27.7,8,Sunalta,Araneidae
-24.15,7.65,Policeman Flats,Perlidae
-28.3,6.4,Sunalta,Chloroperlidae
-26.7,9.7,Sunalta,Tetragnathidae
-25.9,10.5,Graves Bridge,Chloroperlidae
-28.85,8.55,Sunalta,Rhyacophilidae
-26.5,8.6,Cushing Bridge,Araneidae
-26.5,8.9,Cushing Bridge,Araneidae
-28.3,7.9,Cochrane,Araneidae
-28.5,7,Sunalta,Chloroperlidae
-24.9,13.4,Graves Bridge,Tetragnathidae
-33,9.7,Sunalta,Rhyacophilidae
-27.9,9.4,Graves Bridge,Chloroperlidae
-28.25,8.95,Cochrane,Rhyacophilidae
-31.1,10.1,Policeman Flats,Perlidae
