SampleName,Stage,Stage_plot,Site,Site_Code,Taxa,Taxa_Specific,FFG,Consumer,Mass,Date,d13C,d15N,%C,%N,C/N
COCH_Ad_Chiro_SI_1,Aquatic adult,Aquatic adult,Cochrane,COCH,Chironomidae,Chironomidae Adult,Gatherer-Collector,Primary Consumer,1.13,01-Mar-23,-27.1,6,48.7,10,4.9
COCH_Ad_Chiro_SI_2,Aquatic adult,Aquatic adult,Cochrane,COCH,Chironomidae,Chironomidae Adult,Gatherer-Collector,Primary Consumer,1.012,01-Mar-23,-28.4,10.3,50,11.3,4.4
COCH_Ad_Chiro_SI_3,Aquatic adult,Aquatic adult,Cochrane,COCH,Chironomidae,Chironomidae Adult,Gatherer-Collector,Primary Consumer,1.045,28-Feb-23,-32.2,9.5,49.9,9.3,5.4
COCH_Ad_Rhya_SI_1,Aquatic adult,Aquatic adult,Cochrane,COCH,Rhyacophilidae,Rhyacophilidae Adult,Predator,Secondary Consumer,N/A,02-Mar-23,-30.65,9.1,55.95,10.6,5.3
COCH_Ad_Rhya_SI_2,Aquatic adult,Aquatic adult,Cochrane,COCH,Rhyacophilidae,Rhyacophilidae Adult,Predator,Secondary Consumer,N/A,28-Feb-23,-23.85,7.9,57.9,10.1,5.75
COCH_Ad_Rhya_SI_3,Aquatic adult,Aquatic adult,Cochrane,COCH,Rhyacophilidae,Rhyacophilidae Adult,Predator,Secondary Consumer,N/A,02-Mar-23,-28.25,8.95,52.45,10.2,5.15
COCH_Ad_Stonefly_2_SI_1,Aquatic adult,Aquatic adult,Cochrane,COCH,Chloroperlidae,Chloroperlidae Adult,Predator,Secondary Consumer,1.175,28-Feb-23,-30.1,7.7,50.1,12.8,3.9
COCH_Araneid_SI_1,Spider,Spider,Cochrane,COCH,Araneidae,Araneidae,Predator,Secondary Consumer,1.067,01-Mar-23,-29.2,7.3,48.4,12.3,3.9
COCH_Araneid_SI_2,Spider,Spider,Cochrane,COCH,Araneidae,Araneidae,Predator,Secondary Consumer,1.066,28-Feb-23,-28.8,9.2,49.6,12.9,3.8
COCH_Araneid_SI_3,Spider,Spider,Cochrane,COCH,Araneidae,Araneidae,Predator,Secondary Consumer,1.145,02-Mar-23,-28.3,7.9,48.1,12.7,3.8
