Plot Title: ACWA-PC5%,,,,,,,,,
#,"Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 10340337, SEN S/N: 10340337)","Temp, °C (LGR S/N: 10340337, SEN S/N: 10340337)",Coupler Detached (LGR S/N: 10340337),Sensor Data Error (LGR S/N: 10340337),Coupler Attached (LGR S/N: 10340337),Host Connected (LGR S/N: 10340337),Stopped (LGR S/N: 10340337),End Of File (LGR S/N: 10340337)
1,2022-08-31 8:00,8.67,23.38,,,,,,
2,2022-08-31 8:30,8.72,22.98,,,,,,
3,2022-08-31 9:00,8.81,22.58,,,,,,
4,2022-08-31 9:30,8.98,22.2,,,,,,
5,2022-08-31 10:00,8.97,22,,,,,,
6,2022-08-31 10:08,,,Logged,,,,,
7,2022-08-31 10:30,9.17,23.8,,,,,,
8,2022-08-31 11:00,8.34,27.22,,,,,,
9,2022-08-31 11:30,7.96,29.36,,,,,,
10,2022-08-31 12:00,7.77,29.74,,,,,,
11,2022-08-31 12:30,7.84,35.02,,,,,,
12,2022-08-31 13:00,6.83,39.7,,,,,,
13,2022-08-31 13:30,6.83,38.82,,,,,,
14,2022-08-31 14:00,6.68,37.58,,,,,,
15,2022-08-31 14:30,6.9,36.54,,,,,,
16,2022-08-31 15:00,6.92,36.38,,,,,,
17,2022-08-31 15:30,6.86,36.54,,,,,,
18,2022-08-31 16:00,6.9,36.56,,,,,,
19,2022-08-31 16:30,6.93,36.24,,,,,,
20,2022-08-31 17:00,6.92,36.08,,,,,,
21,2022-08-31 17:30,6.94,36.12,,,,,,
22,2022-08-31 18:00,6.93,36.22,,,,,,
23,2022-08-31 18:30,6.92,36.28,,,,,,
24,2022-08-31 19:00,6.92,36.26,,,,,,
25,2022-08-31 19:30,6.92,36.12,,,,,,
26,2022-08-31 20:00,6.94,35.86,,,,,,
27,2022-08-31 20:30,6.99,35.46,,,,,,
28,2022-08-31 21:00,7.04,34.94,,,,,,
29,2022-08-31 21:30,7.11,34.32,,,,,,
30,2022-08-31 22:00,7.18,33.62,,,,,,
31,2022-08-31 22:30,7.25,32.9,,,,,,
32,2022-08-31 23:00,7.35,32.14,,,,,,
33,2022-08-31 23:30,7.43,31.38,,,,,,
34,2022-09-01 0:00,7.52,30.62,,,,,,
35,2022-09-01 0:30,7.61,29.86,,,,,,
36,2022-09-01 1:00,7.7,29.1,,,,,,
37,2022-09-01 1:30,7.8,28.36,,,,,,
38,2022-09-01 2:00,7.91,27.64,,,,,,
39,2022-09-01 2:30,7.99,26.94,,,,,,
40,2022-09-01 3:00,8.11,26.26,,,,,,
41,2022-09-01 3:30,8.2,25.64,,,,,,
42,2022-09-01 4:00,8.28,25.04,,,,,,
43,2022-09-01 4:30,8.36,24.48,,,,,,
44,2022-09-01 5:00,8.45,23.92,,,,,,
45,2022-09-01 5:30,8.54,23.38,,,,,,
46,2022-09-01 6:00,8.64,22.86,,,,,,
47,2022-09-01 6:30,8.72,22.38,,,,,,
48,2022-09-01 7:00,8.78,21.94,,,,,,
49,2022-09-01 7:30,8.86,21.52,,,,,,
50,2022-09-01 8:00,8.93,21.16,,,,,,
51,2022-09-01 8:30,8.96,20.88,,,,,,
52,2022-09-01 9:00,8.92,20.66,,,,,,
53,2022-09-01 9:30,9.12,20.54,,,,,,
54,2022-09-01 10:00,9.04,22.22,,,,,,
55,2022-09-01 10:30,8.84,24.1,,,,,,
56,2022-09-01 11:00,8.56,27.08,,,,,,
57,2022-09-01 11:30,8.23,29.66,,,,,,
